id,ra,dec,zfinal,mass_med,sersic,radius_sersic,MAG_BEST,C,A,S,G,M20,M,I,D,G2,Base_flag,Type
207589,149.826226,2.043548,0.6658,10.09997,0.987587888,8.00531E-05,21.375,2.649404,0.098001,0.022575,0.474763,-1.598054,0.012709,0.115989,0.040518,1.832353,0,ETD
207597,149.811917,2.049026,1.4433,9.02637,1.475149409,6.93072E-05,24.5159,3.103449,-0.133748,-0.02313,0.493163,-1.738981,0.089655,0.055904,0.137093,2.011286,0,ETD
207609,149.775342,2.062331,1.9746,9.44691,1.392014982,6.18423E-05,24.1104,2.798677,-0.000935,0.018413,0.484643,-1.68217,0.096875,0.046261,0.093849,2.066157,0,ETD
207633,149.816935,2.047424,1.1482,9.0155,0.532114911,6.59983E-05,23.888,1.98982,0.135106,0.01051,0.395118,-0.914031,0.135135,0.619074,0.548683,2.017038,0,IRR
207635,149.820768,2.046115,2.2979,9.26975,1.620414462,5.83763E-05,25.3063,2.612682,-0.108001,0.016342,0.444013,-1.338636,0.586207,0.222341,0.268486,2.027042,0,UNC
207641,149.783528,2.059653,0.8809,8.91888,1.705652464,2.63052E-05,24.4866,2.987014,-0.02718,0,0.485106,-1.712824,0.068702,0.026326,0.076475,2.018741,0,SPH
207648,149.826753,2.043984,1.4504,8.8741,0.404592673,6.6592E-05,24.0071,2.287561,0.1826,0.046208,0.465721,-1.003096,0.244444,0.436792,0.534452,2.067928,0,IRR
207657,149.821136,2.045946,1.1545,9.34195,2.33408547,6.09191E-05,23.5798,3.585005,-0.033021,-0.02895,0.603658,-2.170526,0.092417,0.068074,0.028106,1.965511,0,ETD
207661,149.800803,2.053502,1.5861,9.2184,1.556499589,7.77951E-05,24.0204,3.145805,-0.029727,0.00388,0.544271,-1.740712,0.040486,0.033037,0.078523,1.994851,0,ETD
207662,149.785933,2.0589,0.963,9.07691,0.53622634,8.13898E-05,23.7303,2.746378,0.027816,0.026945,0.464792,-1.279171,0.020772,0.012998,0.281395,2.017487,0,LTD
207665,149.790659,2.057152,0.9672,9.05046,0.596668403,6.07336E-05,23.575,2.354332,-0.030195,-0.001514,0.456183,-1.309742,0.15625,0.201433,0.28208,2.01237,0,IRR
207677,149.74706,2.073149,1.9513,8.77747,1.607456861,2.95103E-05,25.7562,2.662812,-0.126066,0,0.483511,-1.71488,0.0625,0,0.120791,2.022334,0,ETD
207681,149.817228,2.04763,3.3827,9.16877,1.134299128,6.82844E-05,24.5832,2.691188,0.23137,0.095408,0.490894,-1.55052,0.043956,0.052875,0.169053,2.00241,0,IRR
207683,149.799168,2.054259,2.2566,8.7595,1.567036642,7.11413E-05,25.8309,2.599372,-0.118966,0.015205,0.43766,-0.901542,0.5,0.6879,0.37388,2.013409,0,UNC
207706,149.834902,2.041354,1.3314,9.18867,1.167161585,7.20757E-05,23.9805,3.007715,0.013514,0.050663,0.547726,-1.632081,0.053398,0.050331,0.074287,2.03176,0,LTD
207711,149.74824,2.072854,2.4121,9.69536,1.158905406,5.68499E-05,22.9447,2.850641,0.223859,0.015657,0.495704,-1.583335,0.015564,0.573804,0.076307,1.963901,0,ETD
207713,149.805417,2.052071,1.9773,9.28565,0.731141519,6.26394E-05,23.7699,2.728918,0.189179,0.042986,0.510847,-1.174722,0.636364,0.691125,0.086673,1.985374,0,LTD
207718,149.836546,2.040865,3.0514,9.69084,1.482414225,3.0411E-05,23.9318,2.824893,0.112396,0.061163,0.546007,-1.699643,0.00738,0,0.048522,1.819619,0,ETD
207732,149.745643,2.074037,1.9611,9.00658,1.050816893,9.37369E-05,25.3302,2.468125,0.282174,0.533267,0.446147,-1.035372,0.285714,0.493248,0.036642,2.005931,8192,ETD
207737,149.784754,2.059703,1.2405,9.1418,1.040863377,0.000113441,24.2925,2.640253,0.011221,0.320354,0.44354,-1.233496,0.118644,0.179823,0.29924,2.001588,0,UNC
207740,149.750299,2.072371,2.6371,8.97892,0.3,0.000230122,24.2962,2.970765,-0.011895,0.047345,0.546164,-1.116808,0.704225,0.547671,0.50209,1.99913,0,IRR
207741,149.750086,2.07244,2.2225,9.34476,0.300000026,7.84668E-05,24.6354,2.08208,0.040229,0.021103,0.474501,-1.18778,1,0,0.158408,1.944458,0,IRR
207742,149.761899,2.067106,2.1059,10.10011,3.75195981,0.00012821,22.8134,3.603336,0.159282,-0.037544,0.553167,-2.045757,0.067901,0.053099,0.102006,1.881716,0,ETD
